text,label
"you are such an idiot nobody likes you",1
"everyone in class hates you go away",1
"why are you so stupid all the time",1
"you should just disappear no one wants you here",1
"stop talking you worthless piece of garbage",1
"you are the ugliest person i have ever seen",1
"nobody will ever love someone like you",1
"go cry to your mommy you little baby",1
"you are pathetic and weak",1
"i will make your life a living hell",1
"watch your back at school tomorrow",1
"you better not show your face here again",1
"everyone is laughing at you behind your back",1
"you are a complete failure at everything",1
"just give up you will never be good enough",1
"you are so dumb it is actually impressive",1
"nobody would care if you were gone",1
"you are a freak and everyone knows it",1
"shut your mouth before i shut it for you",1
"you disgust me you absolute loser",1
"tu kitna bewakoof hai yaar",1
"sab tujhse nafrat karte hain",1
"tere jaisa loser maine kabhi nahi dekha",1
"chal yahan se nikal koi tujhe nahi chahta",1
"tu ek number ka gadha hai",1
"teri shakal dekh ke hi gussa aata hai",1
"you have no friends and you never will",1
"you are a waste of space",1
"kill yourself nobody cares",1
"i hope something bad happens to you",1
"you are too fat to be on this team",1
"delete your account no one likes your posts",1
"you are an embarrassment to everyone",1
"stop being such a crybaby loser",1
"nobody invited you for a reason",1
"you ruin everything you touch",1
"you are dumber than a rock",1
"get lost you annoying pest",1
"you will always be a nobody",1
"everyone agrees that you are useless",1
"your art is trash and so are you",1
"you are so ugly you should hide your face",1
"tu bilkul faltu insaan hai",1
"koi tujhse baat nahi karna chahta",1
"you are a disgrace to your family",1
"i am going to beat you up after school",1
"you make me sick to look at",1
"such a pathetic attempt just quit already",1
"you are the worst and everyone knows it",1
"go back to where you came from nobody wants you",1
"you are a stupid little brat",1
"nobody likes a snitch like you",1
"you should be ashamed of your existence",1
"you are a clown and a joke to everyone",1
"your whole family is a disappointment",1
"i cannot believe how worthless you are",1
"you are too dumb to understand anything",1
"everyone thinks you are a creep",1
"stop posting your face is scaring people",1
"you are nothing but a coward",1
"tere jaise ko to school se nikal dena chahiye",1
"tu sabke samne bezzati karwata hai",1
"you are a loser and you smell bad too",1
"no wonder your parents are ashamed of you",1
"you are weak and pathetic just like always",1
"everybody would be happier without you around",1
"you are a talentless hack give up",1
"your existence is a mistake",1
"you are so annoying just stop breathing",1
"nobody on this team wants you here",1
"hey how was your weekend",0
"thanks so much for helping me with the project",0
"i really enjoyed the movie last night",0
"can you send me the notes from class",0
"happy birthday hope you have an amazing day",0
"great job on the presentation today",0
"let us meet at the library at five",0
"i am so proud of how far you have come",0
"do you want to grab lunch tomorrow",0
"the weather is beautiful today lets go for a walk",0
"congratulations on winning the match",0
"i love the new design you made it looks great",0
"see you at practice this evening",0
"your painting is really beautiful keep it up",0
"thank you for being such a good friend",0
"i appreciate all the hard work you put in",0
"lets study together for the exam this week",0
"that was a really thoughtful gift thank you",0
"i think your idea is brilliant lets try it",0
"good morning everyone have a wonderful day",0
"yaar tu kitna accha dost hai",0
"bahut shukriya meri madad karne ke liye",0
"aaj ka match dekhne chalein kya",0
"tumhari drawing bahut sundar hai",0
"chalo saath me padhte hain kal exam hai",0
"i am feeling a bit nervous about the test",0
"could you explain this math problem to me",0
"the food at that restaurant was delicious",0
"i finished reading that book you recommended",0
"lets plan a trip during the summer holidays",0
"you played really well in the game today",0
"i am grateful for your support during exams",0
"what time does the class start tomorrow",0
"your speech inspired a lot of people",0
"i cannot wait for the school festival",0
"please share the assignment deadline with me",0
"we should celebrate your achievement",0
"the science project turned out really well",0
"thanks for cheering me up when i was sad",0
"i hope you feel better soon take care",0
"lets work on the group task this weekend",0
"your kindness means a lot to me",0
"i scored well because you helped me study",0
"the sunset looked amazing from the rooftop",0
"welcome to the team we are glad to have you",0
"i think we did a great job together",0
"do you need a ride to the event tomorrow",0
"your cooking is honestly the best",0
"lets give it our best shot in the finals",0
"i really admire your dedication to learning",0
"thank you for listening to me yesterday",0
"the new song you shared is really catchy",0
"i am excited to start the new semester",0
"you always know how to make people smile",0
"lets keep encouraging each other to improve",0
"the museum trip was so much fun",0
"i appreciate you checking in on me",0
"great teamwork everyone we nailed it",0
"your notes are super organized thank you",0
"hope your family is doing well",0
